exchange,exchangeName,name,symbol,productType,tradingUnit,quoteUnit,contractMultiplier,multiplierUnit,minTick,tickUnit,tickValue,sourceUrl,sourceTitle,sourcePublishedAt,verificationStatus,verifiedAt,notes
DCE,大连商品交易所,鸡蛋,JD,commodity,10 吨/手,元（人民币）/500千克,20,500千克,1,元/500千克,20,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/500kg 换算，每跳价值=20×1=20 元/手。
DCE,大连商品交易所,焦煤,JM,commodity,60 吨/手,元（人民币）/吨,60,吨,0.5,元/吨,30,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 60 t/lot 与 CNY/t 换算，每跳价值=60×0.5=30 元/手。
DCE,大连商品交易所,聚乙烯,L,commodity,5 吨/手,元（人民币）/吨,5,吨,5,元/吨,25,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 5 t/lot 与 CNY/t 换算，每跳价值=5×5=25 元/手。
DCE,大连商品交易所,原木,LG,commodity,90 立方米/手,元（人民币）/立方米,90,立方米,0.5,元/立方米,45,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 90 m3/lot 与 CNY/m3 换算，每跳价值=90×0.5=45 元/手。
DCE,大连商品交易所,生猪,LH,commodity,16吨/手,元（人民币）/吨,16,吨,5,元/吨,80,https://www.dce.com.cn/dalianshangpin/fgfz/6142914/6142926/6262877/%E5%A4%A7%E8%BF%9E%E5%95%86%E5%93%81%E4%BA%A4%E6%98%93%E6%89%80%E7%94%9F%E7%8C%AA%E6%9C%9F%E8%B4%A7%E4%B8%9A%E5%8A%A1%E7%BB%86%E5%88%99%EF%BC%88%E6%A0%B9%E6%8D%AE2025%E5%B9%B46%E6%9C%8824%E6%97%A5%E3%80%942025%E3%80%9559%E5%8F%B7%E6%96%87%E4%BB%B6%E4%BF%AE%E6%94%B9%EF%BC%89.pdf,大连商品交易所生猪期货业务细则（根据2025年6月24日〔2025〕59号文件修改）,2025-06-24,official-static,2026-07-16,按官方文件交易单位与报价单位换算；每跳价值=16×5=80元/手。
DCE,大连商品交易所,豆粕,M,commodity,10 吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×1=10 元/手。
DCE,大连商品交易所,棕榈油,P,commodity,10 吨/手,元（人民币）/吨,10,吨,2,元/吨,20,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×2=20 元/手。
DCE,大连商品交易所,液化石油气,PG,commodity,20 吨/手,元（人民币）/吨,20,吨,1,元/吨,20,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 20 t/lot 与 CNY/t 换算，每跳价值=20×1=20 元/手。
DCE,大连商品交易所,聚丙烯,PP,commodity,5 吨/手,元（人民币）/吨,5,吨,1,元/吨,5,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 5 t/lot 与 CNY/t 换算，每跳价值=5×1=5 元/手。
DCE,大连商品交易所,粳米,RR,commodity,10 吨/手,元（人民币）/吨,10,吨,1,元/吨,10,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×1=10 元/手。
DCE,大连商品交易所,聚氯乙烯,V,commodity,5 吨/手,元（人民币）/吨,5,吨,5,元/吨,25,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 5 t/lot 与 CNY/t 换算，每跳价值=5×5=25 元/手。
DCE,大连商品交易所,豆油,Y,commodity,10 吨/手,元（人民币）/吨,10,吨,2,元/吨,20,https://www.dce.com.cn/dalianshangpin/sspz/ywpx/index.html,大连商品交易所产品目录（参数由用户确认附件提供）,,user-confirmed,2026-07-17,用户于 2026-07-17 明确确认附件 DCE-CZCE-selected-contracts.xlsx 中该品种基础参数正确；按 10 t/lot 与 CNY/t 换算，每跳价值=10×2=20 元/手。
